Sl No,Roll No,Name,Assignment 1,Assignment 2,Assignment 3,MidSem,EndSem,Quiz1,Quiz2,Assesment1,Assignment 1.1,Assignment 2.1,Assignment 3.1,MidSem.1,EndSem.1,Quiz1.1,Quiz2.1,Assesment1.1,Assignment 1.2,Assignment 2.2,Assignment 3.2,MidSem.2,EndSem.2,Quiz1.2,Quiz2.2,Assesment1.2, , 
49,1401EE32,Torr Retallick,59,1,-6,4,9,25,33,24,84.29,0.87,-5.45,3.2,10.59,41.67,73.33,96.0,12.64,0.13,-1.09,0.32,1.59,2.08,7.33,9.6,32.6,BC
50,1401EE36,Gonzales Cordobes,20,-5,52,2,51,20,13,20,28.57,-4.35,47.27,1.6,60.0,33.33,28.89,80.0,4.29,-0.65,9.45,0.16,9.0,1.67,2.89,8.0,34.81,BC
51,1401EE53,Tabbie Bentham3,26,39,23,58,12,42,24,23,37.14,33.91,20.91,46.4,14.12,70.0,53.33,92.0,5.57,5.09,4.18,4.64,2.12,3.5,5.33,9.2,39.63,BB
52,1401EE54,Camella Beller,-6,24,48,28,56,39,4,19,-8.57,20.87,43.64,22.4,65.88,65.0,8.89,76.0,-1.29,3.13,8.73,2.24,9.88,3.25,0.89,7.6,34.43,BC
53,1401EE56,Sharia O'Shevlin,1,63,49,-1,-8,13,33,25,1.43,54.78,44.55,-0.8,-9.41,21.67,73.33,100.0,0.21,8.22,8.91,-0.08,-1.41,1.08,7.33,10.0,34.26,BC
54,1401EE58,Lara Baynom,46,-1,51,20,25,16,24,23,65.71,-0.87,46.36,16.0,29.41,26.67,53.33,92.0,9.86,-0.13,9.27,1.6,4.41,1.33,5.33,9.2,40.87,BB
55,1401EE67,Blondie Broady,14,-5,14,-4,-3,43,7,19,20.0,-4.35,12.73,-3.2,-3.53,71.67,15.56,76.0,3.0,-0.65,2.55,-0.32,-0.53,3.58,1.56,7.6,16.79,CD
56,1401EE68,Corette Spini,5,48,33,34,9,38,30,19,7.14,41.74,30.0,27.2,10.59,63.33,66.67,76.0,1.07,6.26,6.0,2.72,1.59,3.17,6.67,7.6,35.08,BC
57,1401EE74,Meg Comusso,-1,4,20,13,45,42,36,23,-1.43,3.48,18.18,10.4,52.94,70.0,80.0,92.0,-0.21,0.52,3.64,1.04,7.94,3.5,8.0,9.2,33.63,BC
58,1401ME06,Julio Youhill,56,-10,18,22,63,38,15,19,80.0,-8.7,16.36,17.6,74.12,63.33,33.33,76.0,12.0,-1.3,3.27,1.76,11.12,3.17,3.33,7.6,40.95,BB
59,1401ME07,Emelia Dahill,62,18,-3,-9,1,15,29,20,88.57,15.65,-2.73,-7.2,1.18,25.0,64.44,80.0,13.29,2.35,-0.55,-0.72,0.18,1.25,6.44,8.0,30.24,CC
60,1401ME10,Morgen Bane,-4,55,49,-5,3,-5,35,22,-5.71,47.83,44.55,-4.0,3.53,-8.33,77.78,88.0,-0.86,7.17,8.91,-0.4,0.53,-0.42,7.78,8.8,31.51,BC
61,1401ME11,Teddy Buesden,48,4,-2,50,34,9,8,20,68.57,3.48,-1.82,40.0,40.0,15.0,17.78,80.0,10.29,0.52,-0.36,4.0,6.0,0.75,1.78,8.0,30.98,CC
62,1401ME14,Wally Summerskill,5,-7,13,55,34,33,6,25,7.14,-6.09,11.82,44.0,40.0,55.0,13.33,100.0,1.07,-0.91,2.36,4.4,6.0,2.75,1.33,10.0,27.0,CC
63,1401ME27,Scarlett Elgie,28,2,43,36,16,15,27,25,40.0,1.74,39.09,28.8,18.82,25.0,60.0,100.0,6.0,0.26,7.82,2.88,2.82,1.25,6.0,10.0,37.03,BC
64,1401ME32,Pauly Eddison,2,6,46,30,59,65,37,24,2.86,5.22,41.82,24.0,69.41,108.33,82.22,96.0,0.43,0.78,8.36,2.4,10.41,5.42,8.22,9.6,45.62,AB
65,1401ME39,Richardo Calvey,16,47,25,62,55,57,10,19,22.86,40.87,22.73,49.6,64.71,95.0,22.22,76.0,3.43,6.13,4.55,4.96,9.71,4.75,2.22,7.6,43.35,BB
66,1401ME42,Hobie Lownes,57,31,55,47,14,4,38,20,81.43,26.96,50.0,37.6,16.47,6.67,84.44,80.0,12.21,4.04,10.0,3.76,2.47,0.33,8.44,8.0,49.25,AB
67,1401ME45,Viki Runham,5,5,52,45,54,-7,33,23,7.14,4.35,47.27,36.0,63.53,-11.67,73.33,92.0,1.07,0.65,9.45,3.6,9.53,-0.58,7.33,9.2,40.25,BB
68,1401ME52,Gregorius Capp,49,52,37,15,40,49,45,21,70.0,45.22,33.64,12.0,47.06,81.67,100.0,84.0,10.5,6.78,6.73,1.2,7.06,4.08,10.0,8.4,54.75,AA
69,1401ME61,Riordan Rothwell,42,34,36,9,10,34,18,23,60.0,29.57,32.73,7.2,11.76,56.67,40.0,92.0,9.0,4.44,6.55,0.72,1.76,2.83,4.0,9.2,38.5,BB
70,1401ME63,Pall Chetter,24,50,-5,54,10,9,12,24,34.29,43.48,-4.55,43.2,11.76,15.0,26.67,96.0,5.14,6.52,-0.91,4.32,1.76,0.75,2.67,9.6,29.85,CC
71,1401ME69,Ezequiel Blamires,5,19,-5,29,14,-4,30,20,7.14,16.52,-4.55,23.2,16.47,-6.67,66.67,80.0,1.07,2.48,-0.91,2.32,2.47,-0.33,6.67,8.0,21.77,CD
72,1401ME71,Gerik Vedeneev,13,4,9,11,47,39,28,24,18.57,3.48,8.18,8.8,55.29,65.0,62.22,96.0,2.79,0.52,1.64,0.88,8.29,3.25,6.22,9.6,33.19,BC
73,1401ME76,Eleni Shone,12,1,11,12,36,45,25,22,17.14,0.87,10.0,9.6,42.35,75.0,55.56,88.0,2.57,0.13,2.0,0.96,6.35,3.75,5.56,8.8,30.12,CC
74,1401ME77,Jany Marczyk,37,34,40,-7,40,5,9,21,52.86,29.57,36.36,-5.6,47.06,8.33,20.0,84.0,7.93,4.44,7.27,-0.56,7.06,0.42,2.0,8.4,36.96,BC
75,1401ME80,Ben Rowledge,14,21,15,13,1,39,14,20,20.0,18.26,13.64,10.4,1.18,65.0,31.11,80.0,3.0,2.74,2.73,1.04,0.18,3.25,3.11,8.0,24.05,CC
76,1401ME83,Zoe Klemke,56,32,0,30,24,28,22,20,80.0,27.83,0.0,24.0,28.24,46.67,48.89,80.0,12.0,4.17,0.0,2.4,4.24,2.33,4.89,8.0,38.03,BC
77,1401MM03,Byron Heliet,26,63,46,13,33,21,34,21,37.14,54.78,41.82,10.4,38.82,35.0,75.56,84.0,5.57,8.22,8.36,1.04,5.82,1.75,7.56,8.4,46.72,AB
78,1401MM04,Cherise Le Hucquet,53,16,18,59,-7,10,19,19,75.71,13.91,16.36,47.2,-8.24,16.67,42.22,76.0,11.36,2.09,3.27,4.72,-1.24,0.83,4.22,7.6,32.85,BC
79,1401MM13,Berty Kinrade,12,26,45,27,44,65,3,24,17.14,22.61,40.91,21.6,51.76,108.33,6.67,96.0,2.57,3.39,8.18,2.16,7.76,5.42,0.67,9.6,39.75,BB
80,1401MM25,Meyer Ioselev,49,47,21,26,60,2,45,24,70.0,40.87,19.09,20.8,70.59,3.33,100.0,96.0,10.5,6.13,3.82,2.08,10.59,0.17,10.0,9.6,52.89,AA
81,1401MM29,Thaddus Elleyne,25,36,-9,5,38,41,9,25,35.71,31.3,-8.18,4.0,44.71,68.33,20.0,100.0,5.36,4.7,-1.64,0.4,6.71,3.42,2.0,10.0,30.95,CC
82,1401MM32,Temp Denson,61,6,8,42,64,41,32,24,87.14,5.22,7.27,33.6,75.29,68.33,71.11,96.0,13.07,0.78,1.45,3.36,11.29,3.42,7.11,9.6,50.08,AB
