Name,Roll No,dob,prog,department,date_of_join,yjoin,gender,email,aemail,contact,guardian_contact,marked,added_updated
Sabina Davies,1801CS26,01-01-2001,BTech,CS,01-01-2001,2018,Male,sabina_davies2544@corti.com,sabina_davies6386@gompie.com,9876543210,9876543210,1,16-08-2020 05:03
Nate Spencer,1801CS27,01-01-2001,BTech,CS,01-01-2001,2018,Male,nate_spencer3796@sheye.org,nate_spencer650@zorer.org,9876543210,9876543210,1,16-08-2020 05:03
Leroy Jarrett,1801CS28,01-01-2001,BTech,CS,01-01-2001,2018,Male,leroy_jarrett4346@jiman.org,leroy_jarrett3970@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
Jasmine Cooper,1801CS29,01-01-2001,BTech,CS,01-01-2001,2001,Male,jasmine_cooper2173@bretoux.com,jasmine_cooper5743@hourpy.biz,9876543210,9876543210,1,16-08-2020 05:03
Boris Carter,1801CS30,01-01-2001,BTech,CS,01-01-2001,2018,Male,boris_carter3257@joiniaa.com,boris_carter8845@nanoff.biz,9876543210,9876543210,1,16-08-2020 05:03
Barney Baldwin,1801CS31,01-01-2001,BTech,CS,01-01-2001,2018,Male,barney_baldwin7023@bungar.biz,barney_baldwin8796@bauros.biz,9876543210,9876543210,1,16-08-2020 05:03
Melinda Shelton,1801CS32,01-01-2001,BTech,CS,01-01-2001,2018,Male,melinda_shelton6462@acrit.org,melinda_shelton4797@brety.org,9876543210,9876543210,1,16-08-2020 05:03
Roger Lindsay,1801CS33,01-01-2001,BTech,CS,01-01-2001,2018,Male,roger_lindsay5093@infotech44.tech,roger_lindsay8454@atink.com,9876543210,9876543210,1,16-08-2020 05:03
Lauren Quinnell,1801CS34,01-01-2001,BTech,CS,01-01-2001,2018,Male,lauren_quinnell1677@dionrab.com,lauren_quinnell7554@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
George Mccall,1801CS35,01-01-2001,BTech,CS,01-01-2001,2018,Male,george_mccall3454@tonsy.org,george_mccall6838@bulaffy.com,9876543210,9876543210,1,16-08-2020 05:03
Elijah Roscoe,1801CS36,01-01-2001,BTech,CS,01-01-2001,2018,Male,elijah_roscoe3316@cispeto.com,elijah_roscoe5191@eirey.tech,9876543210,9876543210,1,16-08-2020 05:03
Priscilla Stark,1801CS37,01-01-2001,BTech,CS,01-01-2001,2018,Male,priscilla_stark9625@deons.tech,priscilla_stark952@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
Gil Tindall,1801CS38,01-01-2001,BTech,CS,01-01-2001,2018,Male,gil_tindall4532@yahoo.com,gil_tindall381@bulaffy.com,9876543210,9876543210,1,16-08-2020 05:03
Carina Buckley,1801CS39,01-01-2001,BTech,CS,01-01-2001,2018,Male,carina_buckley8665@twace.org,carina_buckley4797@vetan.org,9876543210,9876543210,1,16-08-2020 05:03
Eileen Rothwell,1801CS40,01-01-2001,BTech,CS,01-01-2001,2018,Male,eileen_rothwell1716@naiker.biz,eileen_rothwell8266@nickia.com,9876543210,9876543210,1,16-08-2020 05:03
Anais Lowe,1801CS41,01-01-2001,BTech,CS,01-01-2001,2018,Male,anais_lowe4471@ubusive.com,anais_lowe8863@dionrab.com,9876543210,9876543210,1,16-08-2020 05:03
Juliette Pitt,1801CS42,01-01-2001,BTech,CS,01-01-2001,2018,Male,juliette_pitt9695@nickia.com,juliette_pitt9836@ovock.tech,9876543210,9876543210,1,16-08-2020 05:03
Megan Hood,1801CS43,01-01-2001,BTech,CS,01-01-2001,2018,Male,megan_hood1414@muall.tech,megan_hood9929@typill.biz,9876543210,9876543210,1,16-08-2020 05:03
Maxwell Ellison,1801CS44,01-01-2001,BTech,CS,01-01-2001,2018,Male,maxwell_ellison3931@yahoo.com,maxwell_ellison6457@ovock.tech,9876543210,9876543210,1,16-08-2020 05:03
Quinn Neville,1801CS45,01-01-2001,BTech,CS,01-01-2001,2018,Male,quinn_neville2988@jiman.org,quinn_neville6068@sheye.org,9876543210,9876543210,1,16-08-2020 05:03
Margaret Grant,1801CS46,01-01-2001,BTech,CS,01-01-2001,2018,Male,margaret_grant7125@atink.com,margaret_grant8318@mafthy.com,9876543210,9876543210,1,16-08-2020 05:03
Dalia Warren,1801CS47,01-01-2001,BTech,CS,01-01-2001,2018,Male,dalia_warren4638@corti.com,dalia_warren6511@kideod.biz,9876543210,9876543210,1,16-08-2020 05:03
Phoebe Rust,1801CS48,01-01-2001,BTech,CS,01-01-2001,2018,Male,phoebe_rust1500@hourpy.biz,phoebe_rust8554@gmail.com,9876543210,9876543210,1,16-08-2020 05:03
Fred Mccall,1801CS49,01-01-2001,BTech,CS,01-01-2001,2018,Male,fred_mccall2870@eirey.tech,fred_mccall1160@bauros.biz,9876543210,9876543210,1,16-08-2020 05:03
Lillian Spencer,1801CS50,01-01-2001,BTech,CS,01-01-2001,2018,Male,lillian_spencer3918@gmail.com,lillian_spencer1863@bauros.biz,9876543210,9876543210,1,16-08-2020 05:03
Leslie Mcleod,1801CS51,01-01-2001,BTech,CS,01-01-2001,2018,Male,leslie_mcleod4942@nanoff.biz,leslie_mcleod2197@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
Benny Kelly,1801CS52,01-01-2001,BTech,CS,01-01-2001,2018,Male,benny_kelly5434@extex.org,benny_kelly5102@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
Abdul Burge,1801CS53,01-01-2001,BTech,CS,01-01-2001,2018,Male,abdul_burge4348@bauros.biz,abdul_burge3975@vetan.org,9876543210,9876543210,1,16-08-2020 05:03
Anthony Hammond,1801CS54,01-01-2001,BTech,CS,01-01-2001,2018,Male,anthony_hammond9108@deavo.com,anthony_hammond8546@famism.biz,9876543210,9876543210,1,16-08-2020 05:03
Vanessa Duvall,1801CS55,01-01-2001,BTech,CS,01-01-2001,2018,Male,vanessa_duvall1191@irrepsy.com,vanessa_duvall6940@twace.org,9876543210,9876543210,1,16-08-2020 05:03
Oliver Lewin,1801CS56,01-01-2001,BTech,CS,01-01-2001,2018,Male,oliver_lewin6724@iatim.tech,oliver_lewin1065@eirey.tech,9876543210,9876543210,1,16-08-2020 05:03
Carl Warden,1801CS57,01-01-2001,BTech,CS,01-01-2001,2018,Male,carl_warden2461@vetan.org,carl_warden4649@ubusive.com,9876543210,9876543210,1,16-08-2020 05:03
Marjorie Wilkinson,1801CS58,01-01-2001,BTech,CS,01-01-2001,2018,Male,marjorie_wilkinson6254@naiker.biz,marjorie_wilkinson1471@nickia.com,9876543210,9876543210,1,16-08-2020 05:03
Liv Price,1801CS59,01-01-2001,BTech,CS,01-01-2001,2018,Male,liv_price4451@gmail.com,liv_price2255@ovock.tech,9876543210,9876543210,1,16-08-2020 05:03
Manuel Overson,1801CS60,01-01-2001,BTech,CS,01-01-2001,2018,Male,manuel_overson5296@typill.biz,manuel_overson1436@ubusive.com,9876543210,9876543210,1,16-08-2020 05:03
Shannon Moran,1801CS61,01-01-2001,BTech,CS,01-01-2001,2018,Male,shannon_moran1156@twipet.com,shannon_moran3480@naiker.biz,9876543210,9876543210,1,16-08-2020 05:03
Julius Appleton,1801CS62,01-01-2001,BTech,CS,01-01-2001,2018,Male,julius_appleton1103@supunk.biz,julius_appleton7073@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
Percy Palmer,1801CS63,01-01-2001,BTech,CS,01-01-2001,2018,Male,percy_palmer6761@grannar.com,percy_palmer4610@mafthy.com,9876543210,9876543210,1,16-08-2020 05:03
Leilani Plant,1801CS64,01-01-2001,BTech,CS,01-01-2001,2018,Male,leilani_plant2709@guentu.biz,leilani_plant3072@typill.biz,9876543210,9876543210,1,16-08-2020 05:03
Nicholas Oliver,1801CS65,01-01-2001,BTech,CS,01-01-2001,2018,Male,nicholas_oliver7894@ubusive.com,nicholas_oliver9949@corti.com,9876543210,9876543210,1,16-08-2020 05:03
Maxwell Allen,1801CS66,01-01-2001,BTech,CS,01-01-2001,2018,Male,maxwell_allen4976@naiker.biz,maxwell_allen8926@sveldo.biz,9876543210,9876543210,1,16-08-2020 05:03
Daniel Denton,1801CS67,01-01-2001,BTech,CS,01-01-2001,2018,Male,daniel_denton9751@cispeto.com,daniel_denton6902@iatim.tech,9876543210,9876543210,1,16-08-2020 05:03
Eduardo Egerton,1801CS68,01-01-2001,BTech,CS,01-01-2001,2018,Male,eduardo_egerton2692@nimogy.biz,eduardo_egerton7509@gompie.com,9876543210,9876543210,1,16-08-2020 05:03
Bob Lambert,1801CS69,01-01-2001,BTech,CS,01-01-2001,2018,Male,bob_lambert4102@famism.biz,bob_lambert9778@grannar.com,9876543210,9876543210,1,16-08-2020 05:03
Tom Phillips,1801EE01,01-01-2001,BTech,EE,01-01-2001,2018,Male,tom_phillips684@deavo.com,tom_phillips7683@nickia.com,9876543210,9876543210,1,16-08-2020 05:03
Ramon Lowe,1801EE02,01-01-2001,BTech,EE,01-01-2001,2018,Male,ramon_lowe7478@gompie.com,ramon_lowe4815@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
Vicky Smith,1801EE03,01-01-2001,BTech,EE,01-01-2001,2018,Male,vicky_smith3627@vetan.org,vicky_smith1649@womeona.net,9876543210,9876543210,1,16-08-2020 05:03
Hayden Donnelly,1801EE04,01-01-2001,BTech,EE,01-01-2001,2018,Male,hayden_donnelly6388@eirey.tech,hayden_donnelly9325@vetan.org,9876543210,9876543210,1,16-08-2020 05:03
Marla Glynn,1801EE05,01-01-2001,BTech,EE,01-01-2001,2018,Male,marla_glynn7582@bulaffy.com,marla_glynn5470@ovock.tech,9876543210,9876543210,1,16-08-2020 05:03
Kate Holmes,1801EE06,01-01-2001,BTech,EE,01-01-2001,2018,Male,kate_holmes8057@bungar.biz,kate_holmes9631@hourpy.biz,9876543210,9876543210,1,16-08-2020 05:03
Ron Kent,1801EE07,01-01-2001,BTech,EE,01-01-2001,2018,Male,ron_kent1142@jiman.org,ron_kent2841@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
Michael Hardwick,1801EE08,01-01-2001,BTech,EE,01-01-2001,2018,Male,michael_hardwick4238@typill.biz,michael_hardwick345@infotech44.tech,9876543210,9876543210,1,16-08-2020 05:03
Erick Mcleod,1801EE09,01-01-2001,BTech,EE,01-01-2001,2018,Male,erick_mcleod4682@hourpy.biz,erick_mcleod664@jiman.org,9876543210,9876543210,1,16-08-2020 05:03
Dasha Windsor,1801EE10,01-01-2001,BTech,EE,01-01-2001,2018,Male,dasha_windsor6535@bungar.biz,dasha_windsor3185@tonsy.org,9876543210,9876543210,1,16-08-2020 05:03
Tania Garner,1801EE12,01-01-2001,BTech,EE,01-01-2001,2018,Male,tania_garner6950@gembat.biz,tania_garner7033@kideod.biz,9876543210,9876543210,1,16-08-2020 05:03
Kieth Thomson,1801EE13,01-01-2001,BTech,EE,01-01-2001,2018,Male,kieth_thomson9745@muall.tech,kieth_thomson3419@fuliss.net,9876543210,9876543210,1,16-08-2020 05:03
Rosalie Denton,1801EE14,01-01-2001,BTech,EE,01-01-2001,2020,Male,rosalie_denton1018@cispeto.com,rosalie_denton9841@guentu.biz,9876543210,9876543210,1,16-08-2020 05:03
Camellia Yoman,1801EE15,01-01-2001,BTech,EE,01-01-2001,2018,Male,camellia_yoman861@guentu.biz,camellia_yoman5612@iatim.tech,9876543210,9876543210,1,16-08-2020 05:03
